review_order	ascii_fold	exact_family_members	current_master_paths	human_decision	approved_destination	human_reason	decision_status
62	leftforearm_helper	LeftForearm_helper; LeftForeArm_helper	LeftForearm_helper -> groupFile/Arms/LeftArm; LeftForeArm_helper -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
63	lforearmtwist	lForeArmTwist; lForearmTwist; lforearmtwist	lForeArmTwist -> groupFile/Arms/LeftArm; lForearmTwist -> groupFile/Arms/LeftArm; lforearmtwist -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
64	lforearmtwist2	LForearmTwist2; lForearmTwist2	LForearmTwist2 -> groupFile/Arms/LeftArm; lForearmTwist2 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
65	lshldrtwist	lShldrTwist; lshldrtwist	lShldrTwist -> groupFile/Arms/LeftArm; lshldrtwist -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
66	lshldrtwist2	LShldrTwist2; lShldrTwist2	LShldrTwist2 -> groupFile/Arms/LeftArm; lShldrTwist2 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
67	lthightwist	lThighTwist; lthightwist	lThighTwist -> groupFile/Legs/LeftLeg; lthightwist -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
68	rforearmtwist	rForeArmTwist; rForearmTwist; rforearmtwist	rForeArmTwist -> groupFile/Arms/RightArm; rForearmTwist -> groupFile/Arms/RightArm; rforearmtwist -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
69	rforearmtwist2	RForearmTwist2; rForearmTwist2	RForearmTwist2 -> groupFile/Arms/RightArm; rForearmTwist2 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
70	rightforearm_helper	RightForearm_helper; RightForeArm_helper	RightForearm_helper -> groupFile/Arms/RightArm; RightForeArm_helper -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
71	rshldrtwist	rShldrTwist; rshldrtwist	rShldrTwist -> groupFile/Arms/RightArm; rshldrtwist -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
72	rshldrtwist2	RShldrTwist2; rShldrTwist2	RShldrTwist2 -> groupFile/Arms/RightArm; rShldrTwist2 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
73	rthightwist	rThighTwist; rthightwist	rThighTwist -> groupFile/Legs/RightLeg; rthightwist -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
74	thigh_twist_l	Thigh_Twist_L; thigh_twist_l	Thigh_Twist_L -> groupFile/Legs/LeftLeg; thigh_twist_l -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
75	thigh_twist_r	Thigh_Twist_R; thigh_twist_r	Thigh_Twist_R -> groupFile/Legs/RightLeg; thigh_twist_r -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
76	valvebiped.bip01_l_forearm_helper	ValveBiped.Bip01_L_Forearm_Helper; valvebiped.bip01_l_ForeArm_HELPER	ValveBiped.Bip01_L_Forearm_Helper -> groupFile/Arms/LeftArm; valvebiped.bip01_l_ForeArm_HELPER -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
77	valvebiped.bip01_l_upperarm_helper	ValveBiped.Bip01_L_UpperArm_Helper; valvebiped.bip01_l_UpperArm_HELPER	ValveBiped.Bip01_L_UpperArm_Helper -> groupFile/Arms/LeftArm; valvebiped.bip01_l_UpperArm_HELPER -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
78	valvebiped.bip01_r_forearm_helper	ValveBiped.Bip01_R_Forearm_Helper; valvebiped.bip01_r_ForeArm_HELPER	ValveBiped.Bip01_R_Forearm_Helper -> groupFile/Arms/RightArm; valvebiped.bip01_r_ForeArm_HELPER -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
79	valvebiped.bip01_r_thigh_helper	ValveBiped.Bip01_R_Thigh_Helper; valvebiped.bip01_r_Thigh_HELPER	ValveBiped.Bip01_R_Thigh_Helper -> groupFile/Legs/RightLeg; valvebiped.bip01_r_Thigh_HELPER -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
80	valvebiped.bip01_r_upperarm_helper	ValveBiped.Bip01_R_UpperArm_Helper; valvebiped.bip01_r_UpperArm_HELPER	ValveBiped.Bip01_R_UpperArm_Helper -> groupFile/Arms/RightArm; valvebiped.bip01_r_UpperArm_HELPER -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
