exact_literal	ascii_fold	current_master_path	final_projected_path	provenance	decision_basis	casefold_carryalong	human_review_status
Bip_LowerArm_Twist1_R	bip_lowerarm_twist1_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_lowerarm_twist1_r): HELPERS	NO	HUMAN_APPROVED
Bip_LowerArm_Twist2_L	bip_lowerarm_twist2_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Bip_LowerArm_Twist2_R	bip_lowerarm_twist2_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Bip_Lowerarm_Twist_L	bip_lowerarm_twist_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_lowerarm_twist_l): HELPERS	NO	HUMAN_APPROVED
Bip_Lowerarm_Twist_R	bip_lowerarm_twist_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_lowerarm_twist_r): HELPERS	NO	HUMAN_APPROVED
Bip_UpperArm_Twist1_R	bip_upperarm_twist1_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_upperarm_twist1_r): HELPERS	NO	HUMAN_APPROVED
Bip_UpperArm_Twist1_l	bip_upperarm_twist1_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_upperarm_twist1_l): HELPERS	NO	HUMAN_APPROVED
Bip_UpperArm_Twist2_R	bip_upperarm_twist2_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_upperarm_twist2_r): HELPERS	NO	HUMAN_APPROVED
Bip_UpperArm_Twist2_l	bip_upperarm_twist2_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_upperarm_twist2_l): HELPERS	NO	HUMAN_APPROVED
Bip_upperarm_L.013	bip_upperarm_l.013	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Bip_upperarm_L.017	bip_upperarm_l.017	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Bip_upperarm_Twist_L	bip_upperarm_twist_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_upperarm_twist_l): HELPERS	NO	HUMAN_APPROVED
Bip_upperarm_Twist_R	bip_upperarm_twist_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	Pass 1G-H/I human family review (fold bip_upperarm_twist_r): HELPERS	NO	HUMAN_APPROVED
Body-Helper-ThighRaise	body-helper-thighraise	groupFile/Legs	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs); no contrary primary"	NO	PREVIOUSLY_SETTLED
Body-Helper-ThighsRaiseOut	body-helper-thighsraiseout	groupFile/Legs	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs); no contrary primary"	NO	PREVIOUSLY_SETTLED
BodyHelperThighRaise	bodyhelperthighraise	groupFile/Legs	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs); no contrary primary"	NO	PREVIOUSLY_SETTLED
BodyHelperThighsRaiseOut	bodyhelperthighsraiseout	groupFile/Legs	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs); no contrary primary"	NO	PREVIOUSLY_SETTLED
Boots_Base_L	boots_base_l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
Boots_Base_R	boots_base_r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
ButtSDEF_L	buttsdef_l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
ButtSDEF_R	buttsdef_r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
Calf_FK.L	calf_fk.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
Calf_FK.R	calf_fk.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
Calf_Helper_L	calf_helper_l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
Calf_Helper_R	calf_helper_r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
Calf_Twist.L	calf_twist.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
Calf_Twist.R	calf_twist.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
Clav_FK.L	clav_fk.l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Clav_FK.R	clav_fk.r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Clavicle_Assist_L	clavicle_assist_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Clavicle_Assist_R	clavicle_assist_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Clavicle_FK.L	clavicle_fk.l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Clavicle_FK.R	clavicle_fk.r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Clavicle_Start_L	clavicle_start_l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Clavicle_Start_R	clavicle_start_r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Coll_LwrArm_R_Jnt	coll_lwrarm_r_jnt	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Coll_LwrLeg_L_Jnt	coll_lwrleg_l_jnt	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
Coll_LwrLeg_R_Jnt	coll_lwrleg_r_jnt	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
Coll_UprArm_L_Jnt	coll_uprarm_l_jnt	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
Coll_UprArm_R_Jnt	coll_uprarm_r_jnt	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
Coll_UprLeg_L_Jnt	coll_uprleg_l_jnt	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
Coll_UprLeg_R_Jnt	coll_uprleg_r_jnt	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
CollarBookBackIKL1	collarbookbackikl1	groupFile/Arms	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms); no contrary primary"	NO	PREVIOUSLY_SETTLED
CollarBookBackIKL2	collarbookbackikl2	groupFile/Arms	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms); no contrary primary"	NO	PREVIOUSLY_SETTLED
CollarBookHandFrontIKL1	collarbookhandfrontikl1	groupFile/Arms	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms); no contrary primary"	NO	PREVIOUSLY_SETTLED
CollarBookHandFrontIKL2	collarbookhandfrontikl2	groupFile/Arms	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms); no contrary primary"	NO	PREVIOUSLY_SETTLED
CollarBookPhysicsParent	collarbookphysicsparent	groupFile/Arms	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms); no contrary primary"	NO	PREVIOUSLY_SETTLED
DEF-LeftArmRoll	def-leftarmroll	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-LeftForeArmRoll	def-leftforearmroll	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-LeftForeArmRoll2	def-leftforearmroll2	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-RightArmRoll	def-rightarmroll	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
DEF-RightForeArmRoll	def-rightforearmroll	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
DEF-RightForeArmRoll2	def-rightforearmroll2	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
DEF-c_arm_in.L	def-c_arm_in.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-c_arm_in.R	def-c_arm_in.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
DEF-c_arm_out.L	def-c_arm_out.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-c_arm_out.R	def-c_arm_out.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
DEF-c_leg_in.L	def-c_leg_in.l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-c_leg_in.R	def-c_leg_in.r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
DEF-c_leg_out.L	def-c_leg_out.l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
DEF-c_leg_out.R	def-c_leg_out.r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
DEF/TWEAK_HIPS.L	def/tweak_hips.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
DEF/TWEAK_HIPS.R	def/tweak_hips.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
DEF_ARMPIT.L	def_armpit.l	groupFile/Fingers	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"	NO	PREVIOUSLY_SETTLED
DEF_ARMPIT.R	def_armpit.r	groupFile/Fingers	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"	NO	PREVIOUSLY_SETTLED
DEF_DIGI_FOOT.L	def_digi_foot.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
DEF_DIGI_FOOT.R	def_digi_foot.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
DEF_FOOT_B.L	def_foot_b.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
DEF_FOOT_B.R	def_foot_b.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
DEF_FOREARM_B.L	def_forearm_b.l	groupFile/Fingers	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"	NO	PREVIOUSLY_SETTLED
DEF_FOREARM_B.R	def_forearm_b.r	groupFile/Fingers	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"	NO	PREVIOUSLY_SETTLED
DEF_FOREARM_C.L	def_forearm_c.l	groupFile/Arms/LeftArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"	NO	PREVIOUSLY_SETTLED
DEF_FOREARM_C.R	def_forearm_c.r	groupFile/Arms/RightArm	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"	NO	PREVIOUSLY_SETTLED
DEF_MCH_WRIST_ROT_SUPPORT.L	def_mch_wrist_rot_support.l	groupFile/Fingers	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"	NO	PREVIOUSLY_SETTLED
DEF_MCH_WRIST_ROT_SUPPORT.R	def_mch_wrist_rot_support.r	groupFile/Fingers	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"	NO	PREVIOUSLY_SETTLED
DEF_SHIN_B.L	def_shin_b.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
DEF_SHIN_B.R	def_shin_b.r	groupFile/Legs/RightLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"	NO	PREVIOUSLY_SETTLED
DEF_THIGH_B.L	def_thigh_b.l	groupFile/Legs/LeftLeg	groupFile/Helpers	OUTSIDE_RIGHELPERS_GENERIC	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"	NO	PREVIOUSLY_SETTLED
