fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
closed_gem_l	Closed_Gem_L	B	Medium		referent word(s): ['gem'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
closedgenital	ClosedGenital	B	Medium		referent word(s): ['genital'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
closegenitals	CloseGenitals	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
closelidslow	CloseLidsLow	A	High	groupFile/Face/Eyes				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back left 1	cloth back left 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back left 2	cloth back left 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back left 3	cloth back left 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back middle 1	cloth back middle 1	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back middle 2	cloth back middle 2	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back middle 3	cloth back middle 3	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back right 1	cloth back right 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back right 2	cloth back right 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth back right 3	cloth back right 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth e 00 l	CLOTH E 00 L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth e 00 r	CLOTH E 00 R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth fix 1	Cloth fix 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth fix 2	Cloth fix 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front left 1	cloth front left 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front left 2	cloth front left 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front left 3	cloth front left 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front middle 1	cloth front middle 1	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front middle 2	cloth front middle 2	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front middle 3	cloth front middle 3	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front right 1	cloth front right 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front right 2	cloth front right 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth front right 3	cloth front right 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 1	cloth left 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 2	cloth left 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 2 jb	cloth left 2 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth left 3	cloth left 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 3 jb	cloth left 3 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth left 4	cloth left 4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 4 jb	cloth left 4 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth left 5	cloth left 5	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 5 jb	cloth left 5 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth left 6	cloth left 6	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 6 jb	cloth left 6 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth left 7	cloth left 7	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left 7 jb	cloth left 7 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth left 8	cloth left 8	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth left c	cloth left c	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 1	cloth middle 1	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 2	cloth middle 2	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 2 jb	cloth middle 2 JB	B	Medium		referent word(s): ['cloth', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth middle 3	cloth middle 3	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 3 jb	cloth middle 3 JB	B	Medium		referent word(s): ['cloth', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth middle 4	cloth middle 4	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 4 jb	cloth middle 4 JB	B	Medium		referent word(s): ['cloth', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth middle 5	cloth middle 5	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 5 jb	cloth middle 5 JB	B	Medium		referent word(s): ['cloth', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth middle 6	cloth middle 6	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 6 jb	cloth middle 6 JB	B	Medium		referent word(s): ['cloth', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth middle 7	cloth middle 7	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth middle 7 jb	cloth middle 7 JB	B	Medium		referent word(s): ['cloth', 'middle'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth middle 8	cloth middle 8	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 1	cloth right 1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 2	cloth right 2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 2 jb	cloth right 2 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth right 3	cloth right 3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 3 jb	cloth right 3 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth right 4	cloth right 4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 4 jb	cloth right 4 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth right 5	cloth right 5	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 5 jb	cloth right 5 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth right 6	cloth right 6	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 6 jb	cloth right 6 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth right 7	cloth right 7	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right 7 jb	cloth right 7 JB	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth right 8	cloth right 8	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right a	cloth right a	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth right b	cloth right b	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth root	cloth root	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth1	Cloth1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth2	Cloth2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth3	Cloth3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth4	Cloth4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_a_1	cloth_back_A_1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_a_2	cloth_back_A_2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_a_3	cloth_back_A_3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_a_4	cloth_back_A_4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_1_l	cloth_back_B_1_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_1_r	cloth_back_B_1_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_2_l	cloth_back_B_2_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_2_r	cloth_back_B_2_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_3_l	cloth_back_B_3_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_3_r	cloth_back_B_3_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_4_l	cloth_back_B_4_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_back_b_4_r	cloth_back_B_4_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_l_01	cloth_bone_up_l_01	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_l_02	cloth_bone_up_l_02	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_l_03	cloth_bone_up_l_03	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_l_04	cloth_bone_up_l_04	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_l_05	cloth_bone_up_l_05	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_l_06	cloth_bone_up_l_06	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_r_01	cloth_bone_up_r_01	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_r_02	cloth_bone_up_r_02	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_r_03	cloth_bone_up_r_03	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_r_04	cloth_bone_up_r_04	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_r_05	cloth_bone_up_r_05	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_bone_up_r_06	cloth_bone_up_r_06	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_collar_1_l	cloth_collar_1_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_collar_1_m	cloth_collar_1_M	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_collar_1_r	cloth_collar_1_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_collar_2_l	cloth_collar_2_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_collar_2_m	cloth_collar_2_M	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_collar_2_r	cloth_collar_2_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_a_1	cloth_front_A_1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_a_2	cloth_front_A_2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_a_3	cloth_front_A_3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_a_4	cloth_front_A_4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_b_1	cloth_front_B_1	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_b_2	cloth_front_B_2	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_b_3	cloth_front_B_3	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_b_4	cloth_front_B_4	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_front_string_low	cloth_front_string_low	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth_front_string_up	cloth_front_string_up	B	Medium		referent word(s): ['cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cloth_side_a_1_l	cloth_side_A_1_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_1_r	cloth_side_A_1_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_2_l	cloth_side_A_2_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_2_r	cloth_side_A_2_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_3_l	cloth_side_A_3_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_3_r	cloth_side_A_3_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_4_l	cloth_side_A_4_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_a_4_r	cloth_side_A_4_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_b_l	cloth_side_B_L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cloth_side_b_r	cloth_side_B_R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
clothanushide	ClothAnusHide	B	Medium		referent word(s): ['anus', 'cloth'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
clothes_front	Clothes_Front	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
clothesfitpants	ClothesFitPants	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
clothesfitshirt	ClothesFitShirt	C	Low			recognizable word(s) present: ['unknown', 'clothing'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
clothesfitsuit	ClothesFitSuit	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
clothingon	ClothingOn	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
cn	CN	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
cnipple.l	CNipple.L	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cnipple.r	CNipple.R	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
co	CO	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
cock-chubby	cock-chubby	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock-defined	cock-defined	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock-fat	cock-fat	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock-head-fat	cock-head-fat	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock-head-skinny	cock-head-skinny	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock-retract	cock-retract	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock-round	cock-round	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock-skinny	cock-skinny	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock-tall	cock-tall	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock-wide	cock-wide	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.ball.left	Cock.Ball.Left	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.ball.right	Cock.Ball.Right	B	Medium		referent word(s): ['cock'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.balls_1	Cock.Balls_1	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.balls_2	Cock.Balls_2	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_1	Cock.Shaft_1	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_1_skin	Cock.Shaft_1_Skin	B	Medium		referent word(s): ['cock', 'shaft'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.shaft_2	Cock.Shaft_2	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_2_skin	Cock.Shaft_2_Skin	B	Medium		referent word(s): ['cock', 'shaft'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.shaft_3	Cock.Shaft_3	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_3_skin	Cock.Shaft_3_Skin	B	Medium		referent word(s): ['cock', 'shaft'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.shaft_4	Cock.Shaft_4	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_4_skin	Cock.Shaft_4_Skin	B	Medium		referent word(s): ['cock', 'shaft'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.shaft_5	Cock.Shaft_5	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_5_skin	Cock.Shaft_5_Skin	B	Medium		referent word(s): ['cock', 'shaft'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock.shaft_6	Cock.Shaft_6	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock.shaft_6_skin	Cock.Shaft_6_Skin	B	Medium		referent word(s): ['cock', 'shaft'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
cock_01	Cock_01	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_01.001	Cock_01.001	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_02	Cock_02	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_03	Cock_03	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_04	Cock_04	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_05	Cock_05	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_06	Cock_06	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_07	Cock_07	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_08	Cock_08	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
cock_09	Cock_09	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
