final_order	exact_literal	ascii_fold	provenance	prior_master_path	human_review_status	casefold_carryalong	decision_basis
311	arm_left_wrist_adj_2	arm_left_wrist_adj_2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
312	arm_lower_L_TWIST	arm_lower_l_twist	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
313	arm_lower_L_TWIST1	arm_lower_l_twist1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
314	arm_lower_R_TWIST	arm_lower_r_twist	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
315	arm_lower_R_TWIST1	arm_lower_r_twist1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
316	arm_right_elbow_adj_1	arm_right_elbow_adj_1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
317	arm_right_elbow_adj_2	arm_right_elbow_adj_2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
318	arm_right_shoulder_1_adj	arm_right_shoulder_1_adj	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
319	arm_right_shoulder_2_adj	arm_right_shoulder_2_adj	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
320	arm_right_wrist_adj_1	arm_right_wrist_adj_1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
321	arm_right_wrist_adj_2	arm_right_wrist_adj_2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
322	arm_stretch.l	arm_stretch.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
323	arm_stretch.r	arm_stretch.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
324	arm_stretch_L	arm_stretch_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
325	arm_stretch_R	arm_stretch_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
326	arm_upper_L_TWIST	arm_upper_l_twist	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
327	arm_upper_L_TWIST1	arm_upper_l_twist1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
328	arm_upper_R_TWIST	arm_upper_r_twist	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
329	arm_upper_R_TWIST1	arm_upper_r_twist1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
330	ArmAngleAdjustmentç”¨_L	armangleadjustmentç”¨_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
331	ArmAngleAdjustmentç”¨_R	armangleadjustmentç”¨_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
332	ArmAngleAdjustment用_L	armangleadjustment用_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
333	ArmAngleAdjustment用_R	armangleadjustment用_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
334	ArmAttachmentBaseMagnificationAdjustment_L	armattachmentbasemagnificationadjustment_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
335	ArmAttachmentBaseMagnificationAdjustment_R	armattachmentbasemagnificationadjustment_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
336	ArmAttachmentBaseåçAdjustment_L	armattachmentbaseåçadjustment_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
337	ArmAttachmentBaseåçAdjustment_R	armattachmentbaseåçadjustment_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
338	ArmAttachmentBaseå€çŽ‡Adjustment_L	armattachmentbaseå€çŽ‡adjustment_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
339	ArmAttachmentBaseå€çŽ‡Adjustment_R	armattachmentbaseå€çŽ‡adjustment_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
340	ArmAttachmentBase倍率Adjustment_L	armattachmentbase倍率adjustment_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
341	ArmAttachmentBase倍率Adjustment_R	armattachmentbase倍率adjustment_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
342	ArmD_L	armd_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
343	ArmD_R	armd_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
344	armFlex_L	armflex_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
345	armFlex_R	armflex_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
346	ArmInnerController.L	arminnercontroller.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
347	ArmInnerController.R	arminnercontroller.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
348	armpit.l	armpit.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
349	armpit.r	armpit.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
350	ArmRoll_L	armroll_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
351	ArmRoll_R	armroll_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
352	ArmRotateL	armrotatel	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
353	ArmRotateR	armrotater	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
354	Arms_Fix_lowerarm_L	arms_fix_lowerarm_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Fingers	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"
355	Arms_Fix_lowerarm_R	arms_fix_lowerarm_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Fingers	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"
356	Arms_Fix_upperarm_L	arms_fix_upperarm_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Fingers	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"
357	Arms_Fix_upperarm_R	arms_fix_upperarm_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Fingers	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Currently filed under ""Fingers"", but the name itself declares a generic secondary/support function; Silkworm generic-helper provenance (Arm and Hand H"
358	ArmSDEF_L	armsdef_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
359	ArmSDEF_R	armsdef_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
360	ArmSDEFTopTipsé¸æŠžç”¨_L	armsdeftoptipsé¸æŠžç”¨_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
361	ArmSDEFTopTipsé¸æŠžç”¨_R	armsdeftoptipsé¸æŠžç”¨_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
362	ArmSDEFTopTips選択用_L	armsdeftoptips選択用_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
363	ArmSDEFTopTips選択用_R	armsdeftoptips選択用_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
364	ArmTwist/Adjustment_L	armtwist/adjustment_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
365	ArmTwist/Adjustment_R	armtwist/adjustment_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
366	ArmTwist_L	armtwist_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
367	ArmTwist_R	armtwist_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
368	ArmTwistD_L	armtwistd_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
369	ArmTwistD_R	armtwistd_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
370	ArmTwistIncreaseæ­£1_L	armtwistincreaseæ­£1_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
371	ArmTwistIncreaseæ­£1_R	armtwistincreaseæ­£1_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
372	ArmTwistIncreaseæ­£2_L	armtwistincreaseæ­£2_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
373	ArmTwistIncreaseæ­£2_R	armtwistincreaseæ­£2_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
374	ArmTwistIncrease正1_L	armtwistincrease正1_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
375	ArmTwistIncrease正1_R	armtwistincrease正1_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
376	ArmTwistIncrease正2_L	armtwistincrease正2_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
377	ArmTwistIncrease正2_R	armtwistincrease正2_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
378	ArmTwistNothing0.92_L	armtwistnothing0.92_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
379	ArmTwistNothing0.92_R	armtwistnothing0.92_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
380	ArmTwistNothing(*0.92)_L	armtwistnothing(*0.92)_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
381	ArmTwistNothing(*0.92)_R	armtwistnothing(*0.92)_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
382	ArmTwistNothing_L	armtwistnothing_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
383	ArmTwistNothing_R	armtwistnothing_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
384	ArmTwistNothingikL_L	armtwistnothingikl_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
385	ArmTwistNothingikL_R	armtwistnothingikl_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
386	ArmTwisté€£å‹•_L	armtwisté€£å‹•_l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
387	ArmTwisté€£å‹•_R	armtwisté€£å‹•_r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
